"PostCode","shortPostcode","Year","Town","District","County","Population2019","Population2020","Population2021","Population2022"
"YO51 9FD","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"BD23 6NQ","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"DL7 8DE","DL7","2019","NORTHALLERTON","HAMBLETON","NORTH YORKSHIRE",17131.4369422794,17227.5880555688,17324.2788221646,17421.5122708998
"YO7 1JB","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"YO30 1AU","YO30","2019","YORK","HAMBLETON","NORTH YORKSHIRE",28109.7958115055,28267.5635557246,28426.2167799125,28585.7604538731
"YO7 4HH","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"YO22 5HL","YO22","2019","WHITBY","SCARBOROUGH","NORTH YORKSHIRE",9219.58204662808,9271.32744783603,9323.36327289754,9375.69115183213
"BD20 7AJ","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO19 6JU","YO19","2019","YORK","SELBY","NORTH YORKSHIRE",13641.3476798986,13717.9104790736,13794.902991086,13872.3276277223
"YO14 0HW","YO14","2019","FILEY","SCARBOROUGH","NORTH YORKSHIRE",11889.9651142124,11956.6981843312,12023.8057974031,12091.2900555709
"BD20 7FB","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO61 3JR","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO7 3AR","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"TS9 7EF","TS9","2019","MIDDLESBROUGH","HAMBLETON","NORTH YORKSHIRE",13454.3786122711,13529.8920374757,13605.8292858497,13682.1927361235
"YO51 9EH","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"HG3 5JZ","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"BD23 3PH","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"BD20 7EF","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"DN14 0QU","DN14","2019","GOOLE","SELBY","NORTH YORKSHIRE",48846.4611595069,49120.6145557784,49396.3066527644,49673.5460865057
"BD20 9AT","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO13 0QU","YO13","2019","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",10680.4759479212,10740.420694898,10800.7018849985,10861.3214065278
"YO13 9LT","YO13","2019","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",10680.4759479212,10740.420694898,10800.7018849985,10861.3214065278
"YO13 9AR","YO13","2019","SCARBOROUGH","SCARBOROUGH","NORTH YORKSHIRE",10680.4759479212,10740.420694898,10800.7018849985,10861.3214065278
"YO51 9QY","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"BD23 4EY","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"BD20 9DW","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"LS24 9PY","LS24","2019","TADCASTER","SELBY","NORTH YORKSHIRE",12516.3643068854,12586.6130762384,12657.2561205961,12728.2956528482
